Category,Message,text_length,clean_text
ham,"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?",94,hmmm thought said hours slave late punish
ham,Beerage?,8,beerage
spam,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,99,important customer service announcement premier call freephone
ham,Dont think so. It turns off like randomlly within 5min of opening,65,dont think turns like randomlly within min opening
ham,"She was supposed to be but couldn't make it, she's still in town though",71,supposed couldnt make shes still town though
ham,It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure,117,time fixes spelling sometimes gets completely diff word go figure
spam,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),129,ever thought living good life perfect partner txt back name age join mobile community psms
spam,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870.",157,free top polyphonic tones call national rate get toppoly tune sent every week text subpoly £ per pole unsub
ham,Gud mrng dear hav a nice day,28,gud mrng dear hav nice day
ham,This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola,150,hoping enjoyed game yesterday sorry ive touch pls know fondly bein thot great week abiola
ham,All e best 4 ur driving tmr :-),31,e best ur driving tmr
ham,Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATS AL!!!!!!!!!,71,ywhere u dogbreath sounding like jan c thats al
ham,Omg I want to scream. I weighed myself and I lost more weight! Woohoo!,70,omg want scream weighed lost weight woohoo
ham,There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?,94,generally isnt one uncountable noun u dictionary pieces research
ham,it's really getting me down just hanging around.,48,really getting hanging around
spam,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa",160,orange customer may claim free camera phone upgrade loyalty call offer ends thmarch tcs apply optout availa
ham,Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic,94,petey boy whereare friendsare thekingshead come canlove nic
ham,Ok i msg u b4 i leave my house.,31,ok msg u b leave house
ham,Gimme a few was  &lt;#&gt;  minutes ago,39,gimme ltgt minutes ago
spam,"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16",152,last chance claim ur £ worth discount vouchers today text shop savamob offers mobile cs savamob pobox muz £ sub
ham,Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice,71,appt lttimegt fault u dont listen told u twice
spam,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,162,free st week nokia tone ur mobile every week txt nokia get txting tell ur mates wwwgetzedcouk pobox wwq normptone
spam,You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,141,guaranteed £ award even £ cashto claim ur award call free stop getstop php rg jx
ham,K I'll be there before 4.,25,k ill
ham,I dled 3d its very imp,22,dled imp
ham,"sure, but make sure he knows we ain't smokin yet",48,sure make sure knows aint smokin yet
ham,Boooo you always work. Just quit.,33,boooo always work quit
ham,I am taking half day leave bec i am not well,44,taking half day leave bec well
ham,Ugh I don't wanna get out of bed. It's so warm.,47,ugh dont wanna get bed warm
ham,S:)s.nervous  &lt;#&gt; :),26,ssnervous ltgt
ham,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint,112,theres ring comes guys costumes gift future yowifes hint hint
spam,Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,148,congratulations ur awarded either £ cd gift vouchers free entry £ weekly draw txt music tncs wwwldewcomwinppmxage
ham,I borrow ur bag ok.,19,borrow ur bag ok
spam,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",133,u outbid simonwatson shinco dvd plyr bid visit sms acsmsrewards end bid notifications reply end
ham,Where's my boytoy? I miss you ... What happened?,48,wheres boytoy miss happened
ham,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up",107,lots used ones babe model doesnt help youi bring hell match
ham,Also are you bringing galileo or dobby,38,also bringing galileo dobby
ham,Then why you not responding,27,responding
ham,BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & ILLSPEAK 2U SOONLOTS OF LOVEME XXXX.,124,boo babe u enjoyin yourjob u seemed b gettin well hunnyhope ure oktake care illspeak u soonlots loveme xxxx
ham,Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*,131,good afternoon starshine hows boytoy crave yet ache fuck sips cappuccino miss babe teasing kiss
ham,On the road so cant txt,23,road cant txt
spam,"SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",156,smsservices yourinclusive text credits pls goto wwwcomuknet login qxj unsubscribe stop extra charge help comuk cm ae
spam,25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,161,p alfie moons children need song ur mob tell ur ms txt tone charity nokias poly charity polys zed profit charity
ham,Have a good evening! Ttyl,25,good evening ttyl
ham,Hmm .. Bits and pieces lol ... *sighs* ...,42,hmm bits pieces lol sighs
ham,Hahaha..use your brain dear,27,hahahause brain dear
ham,Hey. You got any mail?,22,hey got mail
ham,"Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around",98,sorry light turned green meant another friend wanted ltgt worth may around
ham,Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola,89,thanks yesterday sir wonderful hope enjoyed burial mojibiola
spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,147,u secret admirer reveal thinks u r special call opt reply reveal stop per msg recd cust care
ham,Hi mate its RV did u hav a nice hol just a message 3 say hello coz havent sent u 1 in ages started driving so stay off roads!RVx,129,hi mate rv u hav nice hol message say hello coz havent sent u ages started driving stay roadsrvx
spam,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062",152,dear voucher holder claim weeks offer pc please go tscs apply stop texts txt stop
ham,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago",215,thank much skyped wit kz sura didnt get pleasure company hope good weve given ultimatum oh countin aburo enjoy message sent days ago
ham,Surely result will offer:),26,surely result offer
ham,Good Morning my Dear........... Have a great &amp; successful day.,66,good morning dear great amp successful day
spam,Do you want 750 anytime any network mins 150 text and a NEW VIDEO phone for only five pounds per week call 08002888812 or reply for delivery tomorrow,149,want anytime network mins text new video phone five pounds per week call reply delivery tomorrow
ham,"Sir, I have been late in paying rent for the past few months and had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thanks",372,sir late paying rent past months pay ltgt charge felt would inconsiderate nag something give great cost thats didnt speak however recession wont able pay charge month hence askin well ahead months end please help thanks
spam,We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,155,tried contact offer new video phone anytime network mins half price rental camcorder call reply delivery wed
spam,Last chance 2 claim ur £150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. £3.00 Sub. 16 . Remove txt X or STOP,160,last chance claim ur £ worth discount voucherstext yes nowsavamobmember offers mobile cs £ sub remove txt x stop
ham,I luv u soo much u dont understand how special u r 2 me ring u 2morrow luv u xxx,81,luv u soo much u dont understand special u r ring u morrow luv u xxx
ham,"Pls send me a comprehensive mail about who i'm paying, when and how much.",73,pls send comprehensive mail im paying much
ham,Our Prashanthettan's mother passed away last night. pray for her and family.,76,prashanthettans mother passed away last night pray family
spam,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+",152,urgent call landline complimentary ibiza holiday cash await collection sae tcs po box sk wp ppm
ham,K.k:)when are you going?,24,kkwhen going
ham,Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore,231,meanwhile shit suite xavier decided give us ltgt seconds warning samantha coming playing jays guitar impress shit also dont think doug realizes dont live anymore
ham,My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.,87,stomach thru much trauma swear cant eat better lose weight
ham,I am in office:)whats the matter..msg me now.i will call you at break:).,72,officewhats mattermsg nowi call break
ham,"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later",105,yeah theres barely enough room two us x many fucking shoes sorry man see later
spam,"Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X",158,todays offer claim ur £ worth discount vouchers text yes savamob member offers mobile cs £ sub unsub reply x
ham,U reach orchard already? U wan 2 go buy tickets first?,54,u reach orchard already u wan go buy tickets first
ham,"I am real, baby! I want to bring out your inner tigress...",58,real baby want bring inner tigress
ham,No da if you run that it activate the full version da.,54,da run activate full version da
ham,AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.,114,ah poor babyhope urfeeling bettersn luv probthat overdose work hey go careful spk u sn lots lovejen xxx
ham,Stop the story. I've told him i've returned it and he's saying i should not re order it.,88,stop story ive told ive returned hes saying order
spam,Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.,144,talk sexy make new friends fall love worlds discreet text dating service text vip see could meet
ham,Going to take your babe out ?,29,going take babe
ham,Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.,136,hai ana tomarrow coming morning ltdecimalgt ill sathy go rto office reply came home
ham,Spoons it is then okay?,23,spoons okay
ham,Did he just say somebody is named tampa,39,say somebody named tampa
ham,In work now. Going have in few min.,35,work going min
ham,Your brother is a genius,24,brother genius
ham,"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you",95,sorry guess whenever get hold connections maybe hour two ill text
ham,Did u find out what time the bus is at coz i need to sort some stuff out.,73,u find time bus coz need sort stuff
ham,Dude ive been seeing a lotta corvettes lately,45,dude ive seeing lotta corvettes lately
spam,Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net £1.50pm approx 3mins,160,congratulations ur awarded either yrs supply cds virgin records mystery gift guaranteed call tscs wwwsmsconet £pm approx mins
ham,"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter",159,consider walls bunkers shit important never play peaceful guess place high enough dont matter
spam,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04,149,private account statement xxxxxx shows unredeemed points call identifier code expires
spam,Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r,134,hello need posh birds chaps user trial prods champneys put need address dob asap ta r
spam,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,154,u want xmas free text messages new video phone half price line rental call free find
ham,"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!",92,well officially philosophical hole u wanna call home ready saved
ham,Its going good...no problem..but still need little experience to understand american customer voice...,102,going goodno problembut still need little experience understand american customer voice
ham,I'll text you when I drop x off,31,ill text drop x
ham,Ugh its been a long day. I'm exhausted. Just want to cuddle up and take a nap,77,ugh long day im exhausted want cuddle take nap
ham,Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;,139,talk atleast day otherwise miss best friend world shakespeare shesil ltgt
spam,"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",156,shop till u drop either k k £ cash £ travel voucher call ntt po box crbt fixedline cost ppm mobile vary
ham,Are you in castor? You need to see something,44,castor need see something
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone,136,sunshine quiz wkly q win top sony dvd player u know country liverpool played mid week txt ansr £ sptyrone
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565,132,u secret admirer looking make contact ufind rreveal thinks ur specialcall
spam,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08,143,u secret admirer looking make contact ufind rreveal thinks ur specialcall stopsms
spam,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,127,reminder downloaded content already paid goto mymoby tv collect content
ham,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training.",276,see knew giving break times woul lead always wanting miss curfew gonna gibe til one midnight movie gonna get til need come home need getsleep anything need b studdying ear training
ham,I love to give massages. I use lots of baby oil... What is your fave position?,78,love give massages use lots baby oil fave position
ham,Dude we should go sup again,27,dude go sup
ham,Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive,79,yoyyooo u know change permissions drive mac usb flash drive
ham,Gibbs unsold.mike hussey,24,gibbs unsoldmike hussey
ham,I like to talk pa but am not able to. I dont know y.,52,like talk pa able dont know
ham,Y dun cut too short leh. U dun like ah? She failed. She's quite sad.,68,dun cut short leh u dun like ah failed shes quite sad
ham,You unbelievable faglord,24,unbelievable faglord
ham,Wife.how she knew the time of murder exactly,44,wifehow knew time murder exactly
ham,Why do you ask princess?,24,ask princess
ham,I am great princess! What are you thinking about me? :),55,great princess thinking
ham,Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. ie you,62,nutter cutter ctter cttergg cttargg ctargg ctagg ie
ham,It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.,104,ok noe ure busy im really bored msg u oso dunno wat colour choose one
ham,Doesn't g have class early tomorrow and thus shouldn't be trying to smoke at  &lt;#&gt;,87,doesnt g class early tomorrow thus shouldnt trying smoke ltgt
ham,"Superb Thought- ""Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today."":-)",148,superb thought grateful u dont everything u want means u still opportunity happier tomorrow u today
ham,Hope you are having a good week. Just checking in,49,hope good week checking
ham,"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment.",154,im used hope agents dont drop since ive booked things year whole boston nyc experiment
ham,"Thursday night? Yeah, sure thing, we'll work it out then",56,thursday night yeah sure thing well work
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",158,free ringtone waiting collected simply text password mix verify get usher britney fml po box mk h ppw
ham,Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.,126,probably money worries things coming due several outstanding invoices work two three months ago
ham,How is it possible to teach you. And where.,43,possible teach
ham,"I wonder if your phone battery went dead ? I had to tell you, I love you babe",77,wonder phone battery went dead tell love babe
ham,Lovely smell on this bus and it ain't tobacco...,48,lovely smell bus aint tobacco
ham,"We're all getting worried over here, derek and taylor have already assumed the worst",84,getting worried derek taylor already assumed worst
ham,Hey what's up charles sorry about the late reply.,49,hey whats charles sorry late reply
spam,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468",162,lastest stereophonics marley dizzee racal libertines strokes win nookii games flirt click themob wap bookmark text wap
ham,I.ll give her once i have it. Plus she said grinule greet you whenever we speak,79,ill give plus said grinule greet whenever speak
ham,WHITE FUDGE OREOS ARE IN STORES,31,white fudge oreos stores
spam,"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)",155,january male sale hot gay chat cheaper call national rate pmin cheap pmin peak stop texts call pmin
ham,My love ! How come it took you so long to leave for Zaher's? I got your words on ym and was happy to see them but was sad you had left. I miss you,146,love come took long leave zahers got words ym happy see sad left miss
ham,I am sorry it hurt you.,23,sorry hurt
ham,Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/,160,cant feel nauseous im pissed didnt eat sweets week cause today planning pig dieting week im hungry
ham,Ok lor but not too early. Me still having project meeting now.,62,ok lor early still project meeting
ham,"Call me da, i am waiting for your call.",39,call da waiting call
ham,I could ask carlos if we could get more if anybody else can chip in,67,could ask carlos could get anybody else chip
ham,Was actually about to send you a reminder today. Have a wonderful weekend,73,actually send reminder today wonderful weekend
ham,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL",148,people see msgs think iam addicted msging wrong bcoz dont know iam addicted sweet friends bslvyl
ham,Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck?,87,hey gave photo registered driving ah tmr wanna meet yck
ham,Dont talk to him ever ok its my word.,37,dont talk ever ok word
ham,When u wana see it then,23,u wana see
ham,On ma way to school. Can you pls send me ashley's number,56,way school pls send ashleys number
ham,It shall be fine. I have avalarr now. Will hollalater,53,shall fine avalarr hollalater
ham,She went to attend another two rounds today..but still did't reach home..,73,went attend another two rounds todaybut still didt reach home
ham,Actually i deleted my old website..now i m blogging at magicalsongs.blogspot.com,80,actually deleted old websitenow blogging magicalsongsblogspotcom
ham,"K, wait chikku..il send aftr  &lt;#&gt; mins",44,k wait chikkuil send aftr ltgt mins
ham,But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.,92,im diet ate many slices pizza yesterday ugh im always diet
ham,K:)i will give my kvb acc details:),35,ki give kvb acc details
ham,Oh all have to come ah?,23,oh come ah
spam,money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over £1million to give away ! ppt150x3+normal text rate box403 w1t1jy,139,money r lucky winner claim prize text money £million give away pptxnormal text rate box wtjy
ham,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-),106,im really sorry wont b able fridayhope u find alternativehope yr terms going ok
ham,Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go,103,congratulations ore mo owo wa enjoy wish many happy moments fro wherever go
ham,So do you have samus shoulders yet,34,samus shoulders yet
ham,What time you think you'll have it? Need to know when I should be near campus,77,time think youll need know near campus
spam,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or £1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH.",158,dear matthew please call landline complimentary lux tenerife holiday £ cash await collection ppm sae tcs box skxh
ham,Then dun wear jeans lor...,26,dun wear jeans lor
ham,"Since when, which side, any fever, any vomitin.",47,since side fever vomitin
ham,K:)k.are you in college?,24,kkare college
spam,"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+",148,urgent call landline complimentary tenerife holiday £ cash await collection sae tcs box hp yf ppm
ham,Better. Made up for Friday and stuffed myself like a pig yesterday. Now I feel bleh. But at least its not writhing pain kind of bleh.,133,better made friday stuffed like pig yesterday feel bleh least writhing pain kind bleh
ham,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:),126,sell well tons coins sell coins someone thru paypal voila money back life pockets
ham,Theyre doing it to lots of places. Only hospitals and medical places are safe.,78,theyre lots places hospitals medical places safe
spam,How about getting in touch with folks waiting for company? Just txt back your NAME and AGE to opt in! Enjoy the community (150p/SMS),132,getting touch folks waiting company txt back name age opt enjoy community psms
ham,And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,116,also ive sorta blown couple times recently id rather text blue looking weed
ham,"I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones",221,sent scores sophas secondary application schools think thinking applying research cost also contact joke ogunrinde school one less expensive ones
ham,I cant wait to see you! How were the photos were useful? :),59,cant wait see photos useful
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,137,ur cashbalance currently pounds maximize ur cashin send go pmsg cc po box tcrw
ham,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging,142,hey booked kb sat already lessons going ah keep sat night free need meet confirm lodging
ham,Chk in ur belovd ms dict,24,chk ur belovd ms dict
ham,Is that what time you want me to come?,38,time want come
ham,"Awesome, lemme know whenever you're around",42,awesome lemme know whenever youre around
ham,Shb b ok lor... Thanx...,24,shb b ok lor thanx
ham,"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOOD NIGHT",157,beautiful truth gravity read carefully heart feels light someone feels heavy someone leaves good night
ham,Also remember to get dobby's bowl from your car,47,also remember get dobbys bowl car
spam,Filthy stories and GIRLS waiting for your,41,filthy stories girls waiting
ham,Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...,122,sorry c ur msg yar lor poor thing one night tmr ull brand new room sleep
ham,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical",126,love isnt decision feeling could decide love life would much simpler less magical
ham,Welp apparently he retired,26,welp apparently retired
ham,My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!,114,sort code acc bank natwest reply confirm ive sent right person
ham,Where @,7,
ham,U sure u can't take any sick time?,34,u sure u cant take sick time
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,156,urgent trying contact u todays draw shows £ prize guaranteed call land line claim validhrs
ham,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",92,watching cartoon listening music amp eve go temple amp church u
ham,Yo chad which gymnastics class do you wanna take? The site says Christians class is full..,90,yo chad gymnastics class wanna take site says christians class full
ham,Are you this much buzy,22,much buzy
ham,Or better still can you catch her and let ask her if she can sell  &lt;#&gt;  for me.,85,better still catch let ask sell ltgt
ham,I am not sure about night menu. . . I know only about noon menu,63,sure night menu know noon menu
ham,What do u want when i come back?.a beautiful necklace as a token of my heart for you.thats what i will give but ONLY to MY WIFE OF MY LIKING.BE THAT AND SEE..NO ONE can give you that.dont call me.i will wait till i come.,220,u want come backa beautiful necklace token heart youthats give wife likingbe seeno one give thatdont call mei wait till come
ham,Are you willing to go for aptitude class.,41,willing go aptitude class
ham,"It wont b until 2.15 as trying 2 sort house out, is that ok?",60,wont b trying sort house ok
ham,"Yar lor he wan 2 go c horse racing today mah, so eat earlier lor. I ate chicken rice. U?",88,yar lor wan go c horse racing today mah eat earlier lor ate chicken rice u
ham,"Haha awesome, omw back now then",31,haha awesome omw back
ham,Yup i thk so until e shop closes lor.,37,yup thk e shop closes lor
ham,what is your account number?,28,account number
ham,Eh u send wrongly lar...,24,eh u send wrongly lar
ham,Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya,117,hey ad crap nite borin without ya boggy u boring biatch thanx u wait til nxt time il ave ya
ham,Ok i shall talk to him,22,ok shall talk
ham,Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing,210,dont hesitate know second time weakness like keep notebook eat day anything changed day sure nothing
ham,Hey you can pay. With salary de. Only  &lt;#&gt; .,50,hey pay salary de ltgt
ham,Another month. I need chocolate weed and alcohol.,49,another month need chocolate weed alcohol
ham,If he started searching he will get job in few days.he have great potential and talent.,87,started searching get job dayshe great potential talent
ham,Reckon need to be in town by eightish to walk from * carpark.,61,reckon need town eightish walk carpark
spam,"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl.",141,congrats mobile g videophones r call videochat wid mates play java games dload polyph music noline rentl
ham,LOOK AT THE FUCKIN TIME. WHAT THE FUCK YOU THINK IS UP,54,look fuckin time fuck think
ham,Yo guess what I just dropped,28,yo guess dropped
ham,Carlos says he'll be at mu in  &lt;#&gt;  minutes,49,carlos says hell mu ltgt minutes
ham,I'm in office now . I will call you  &lt;#&gt;  min:),53,im office call ltgt min
ham,"Geeee ... I miss you already, you know ? Your all I can think about. Fuck, I can't wait till next year when we will be together ... *loving kiss*",145,geeee miss already know think fuck cant wait till next year together loving kiss
ham,"Yun ah.the ubi one say if ü wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.èn",160,yun ahthe ubi one say ü wan call tomorrowcall look ireneere got bus ubi cresubi tech parkph st wkg daysèn
ham,Ugh. Gotta drive back to sd from la. My butt is sore.,53,ugh gotta drive back sd la butt sore
ham,26th OF JULY,12,th july
ham,Hi im having the most relaxing time ever! we have to get up at 7am every day! was the party good the other night? I get home tomorrow at 5ish.,142,hi im relaxing time ever get every day party good night get home tomorrow ish
ham,Up to ü... Ü wan come then come lor... But i din c any stripes skirt...,71,ü ü wan come come lor din c stripes skirt
ham,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...,129,xmas story peace xmas msg love xmas miracle jesus hav blessed month ahead amp wish u merry xmas
ham,"I can't, I don't have her number!",33,cant dont number
ham,Change again... It's e one next to escalator...,47,change e one next escalator
ham,Yetunde i'm in class can you not run water on it to make it ok. Pls now.,72,yetunde im class run water make ok pls
ham,Not a lot has happened here. Feels very quiet. Beth is at her aunts and charlie is working lots. Just me and helen in at the mo. How have you been?,147,lot happened feels quiet beth aunts charlie working lots helen mo
ham,Then ü wait 4 me at bus stop aft ur lect lar. If i dun c ü then i go get my car then come back n pick ü.,104,ü wait bus stop aft ur lect lar dun c ü go get car come back n pick ü
ham,"Aight will do, thanks again for comin out",41,aight thanks comin
ham,No..but heard abt tat..,23,nobut heard abt tat
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,147,please call customer service representative freephone ampm guaranteed £ cash £ prize
ham,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,104,yeshe really greatbhaji told kallis best cricketer sachin worldvery tough get
ham,&lt;#&gt;  am I think? Should say on syllabus,45,ltgt think say syllabus
ham,Umma. Did she say anything,26,umma say anything
ham,Give me a sec to think think about it,37,give sec think think
